n,schedule,basis,rounds,idle,cnot_depth,undetected_single_fault_signatures,circuit_fault_distance
22,dedicated,Z,3,False,24,0,2
22,dedicated,Z,3,True,24,0,2
22,coloration,X,1,False,40,8,1
22,coloration,X,1,True,40,8,1
22,coloration,X,2,False,40,8,1
22,coloration,X,2,True,40,8,1
22,coloration,X,3,False,40,8,1
22,coloration,X,3,True,40,8,1
22,coloration,Z,1,False,40,8,1
22,coloration,Z,1,True,40,8,1
22,coloration,Z,2,False,40,8,1
22,coloration,Z,2,True,40,8,1
22,coloration,Z,3,False,40,8,1
22,coloration,Z,3,True,40,8,1
24,dedicated,X,1,False,26,0,2
24,dedicated,X,1,True,26,0,2
24,dedicated,X,2,False,26,0,2
24,dedicated,X,2,True,26,0,2
24,dedicated,X,3,False,26,0,2
24,dedicated,X,3,True,26,0,2
24,dedicated,Z,1,False,26,0,2
24,dedicated,Z,1,True,26,0,2
24,dedicated,Z,2,False,26,0,2
24,dedicated,Z,2,True,26,0,2
24,dedicated,Z,3,False,26,0,2
24,dedicated,Z,3,True,26,0,2
24,coloration,X,1,False,44,9,1
24,coloration,X,1,True,44,9,1
24,coloration,X,2,False,44,9,1
24,coloration,X,2,True,44,9,1
24,coloration,X,3,False,44,9,1
24,coloration,X,3,True,44,9,1
24,coloration,Z,1,False,44,9,1
24,coloration,Z,1,True,44,9,1
24,coloration,Z,2,False,44,9,1
24,coloration,Z,2,True,44,9,1
24,coloration,Z,3,False,44,9,1
24,coloration,Z,3,True,44,9,1
26,dedicated,X,1,False,28,0,2
26,dedicated,X,1,True,28,0,2
26,dedicated,X,2,False,28,0,2
26,dedicated,X,2,True,28,0,2
26,dedicated,X,3,False,28,0,2
26,dedicated,X,3,True,28,0,2
26,dedicated,Z,1,False,28,0,2
26,dedicated,Z,1,True,28,0,2
26,dedicated,Z,2,False,28,0,2
26,dedicated,Z,2,True,28,0,2
26,dedicated,Z,3,False,28,0,2
26,dedicated,Z,3,True,28,0,2
26,coloration,X,1,False,48,10,1
26,coloration,X,1,True,48,10,1
26,coloration,X,2,False,48,10,1
26,coloration,X,2,True,48,10,1
26,coloration,X,3,False,48,10,1
26,coloration,X,3,True,48,10,1
26,coloration,Z,1,False,48,10,1
26,coloration,Z,1,True,48,10,1
26,coloration,Z,2,False,48,10,1
26,coloration,Z,2,True,48,10,1
26,coloration,Z,3,False,48,10,1
26,coloration,Z,3,True,48,10,1
28,dedicated,X,1,False,30,0,2
28,dedicated,X,1,True,30,0,2
28,dedicated,X,2,False,30,0,2
28,dedicated,X,2,True,30,0,2
28,dedicated,X,3,False,30,0,2
28,dedicated,X,3,True,30,0,2
28,dedicated,Z,1,False,30,0,2
28,dedicated,Z,1,True,30,0,2
28,dedicated,Z,2,False,30,0,2
28,dedicated,Z,2,True,30,0,2
28,dedicated,Z,3,False,30,0,2
28,dedicated,Z,3,True,30,0,2
28,coloration,X,1,False,52,11,1
28,coloration,X,1,True,52,11,1
28,coloration,X,2,False,52,11,1
28,coloration,X,2,True,52,11,1
28,coloration,X,3,False,52,11,1
28,coloration,X,3,True,52,11,1
28,coloration,Z,1,False,52,11,1
28,coloration,Z,1,True,52,11,1
28,coloration,Z,2,False,52,11,1
28,coloration,Z,2,True,52,11,1
28,coloration,Z,3,False,52,11,1
28,coloration,Z,3,True,52,11,1
30,dedicated,X,1,False,32,0,2
30,dedicated,X,1,True,32,0,2
30,dedicated,X,2,False,32,0,2
30,dedicated,X,2,True,32,0,2
30,dedicated,X,3,False,32,0,2
30,dedicated,X,3,True,32,0,2
30,dedicated,Z,1,False,32,0,2
30,dedicated,Z,1,True,32,0,2
30,dedicated,Z,2,False,32,0,2
30,dedicated,Z,2,True,32,0,2
30,dedicated,Z,3,False,32,0,2
30,dedicated,Z,3,True,32,0,2
30,coloration,X,1,False,56,12,1
30,coloration,X,1,True,56,12,1
30,coloration,X,2,False,56,12,1
30,coloration,X,2,True,56,12,1
30,coloration,X,3,False,56,12,1
30,coloration,X,3,True,56,12,1
30,coloration,Z,1,False,56,12,1
30,coloration,Z,1,True,56,12,1
30,coloration,Z,2,False,56,12,1
30,coloration,Z,2,True,56,12,1
30,coloration,Z,3,False,56,12,1
30,coloration,Z,3,True,56,12,1
32,dedicated,X,1,False,34,0,2
32,dedicated,X,1,True,34,0,2
32,dedicated,X,2,False,34,0,2
32,dedicated,X,2,True,34,0,2
32,dedicated,X,3,False,34,0,2
32,dedicated,X,3,True,34,0,2
32,dedicated,Z,1,False,34,0,2
32,dedicated,Z,1,True,34,0,2
32,dedicated,Z,2,False,34,0,2
32,dedicated,Z,2,True,34,0,2
32,dedicated,Z,3,False,34,0,2
32,dedicated,Z,3,True,34,0,2
32,coloration,X,1,False,60,13,1
32,coloration,X,1,True,60,13,1
32,coloration,X,2,False,60,13,1
32,coloration,X,2,True,60,13,1
32,coloration,X,3,False,60,13,1
32,coloration,X,3,True,60,13,1
32,coloration,Z,1,False,60,13,1
32,coloration,Z,1,True,60,13,1
32,coloration,Z,2,False,60,13,1
32,coloration,Z,2,True,60,13,1
32,coloration,Z,3,False,60,13,1
32,coloration,Z,3,True,60,13,1
34,dedicated,X,1,False,36,0,2
34,dedicated,X,1,True,36,0,2
34,dedicated,X,2,False,36,0,2
34,dedicated,X,2,True,36,0,2
34,dedicated,X,3,False,36,0,2
34,dedicated,X,3,True,36,0,2
34,dedicated,Z,1,False,36,0,2
34,dedicated,Z,1,True,36,0,2
34,dedicated,Z,2,False,36,0,2
34,dedicated,Z,2,True,36,0,2
34,dedicated,Z,3,False,36,0,2
34,dedicated,Z,3,True,36,0,2
34,coloration,X,1,False,64,14,1
34,coloration,X,1,True,64,14,1
34,coloration,X,2,False,64,14,1
34,coloration,X,2,True,64,14,1
34,coloration,X,3,False,64,14,1
34,coloration,X,3,True,64,14,1
34,coloration,Z,1,False,64,14,1
34,coloration,Z,1,True,64,14,1
34,coloration,Z,2,False,64,14,1
34,coloration,Z,2,True,64,14,1
34,coloration,Z,3,False,64,14,1
34,coloration,Z,3,True,64,14,1
36,dedicated,X,1,False,38,0,2
36,dedicated,X,1,True,38,0,2
36,dedicated,X,2,False,38,0,2
36,dedicated,X,2,True,38,0,2
36,dedicated,X,3,False,38,0,2
36,dedicated,X,3,True,38,0,2
36,dedicated,Z,1,False,38,0,2
36,dedicated,Z,1,True,38,0,2
36,dedicated,Z,2,False,38,0,2
36,dedicated,Z,2,True,38,0,2
36,dedicated,Z,3,False,38,0,2
36,dedicated,Z,3,True,38,0,2
36,coloration,X,1,False,68,15,1
36,coloration,X,1,True,68,15,1
36,coloration,X,2,False,68,15,1
36,coloration,X,2,True,68,15,1
36,coloration,X,3,False,68,15,1
36,coloration,X,3,True,68,15,1
36,coloration,Z,1,False,68,15,1
36,coloration,Z,1,True,68,15,1
36,coloration,Z,2,False,68,15,1
36,coloration,Z,2,True,68,15,1
36,coloration,Z,3,False,68,15,1
36,coloration,Z,3,True,68,15,1
38,dedicated,X,1,False,40,0,2
38,dedicated,X,1,True,40,0,2
38,dedicated,X,2,False,40,0,2
38,dedicated,X,2,True,40,0,2
38,dedicated,X,3,False,40,0,2
38,dedicated,X,3,True,40,0,2
38,dedicated,Z,1,False,40,0,2
38,dedicated,Z,1,True,40,0,2
38,dedicated,Z,2,False,40,0,2
